properties.name,properties.headline,properties.article
California Eastern,4.0,"Kirk E. Sherriff, Judge Jennifer L. Thurston, Judge Daniel Calabretta, Judge Ana Isabel de Alba"
New Mexico,3.0,"David O. Barnett Jr., David Herrera Urias, Matthew L. Garcia"
California,8.0,"Judge Sherilyn Peace Garnett, Judge Kenly Kiya Kato, Judge Fred W. Slaughter, Judge Sunshine Suzanne Sykes, Judge Maame Ewusi-Mensah Frimpong, Judge Hernán D. Vera, Judge Wesley Hsu, Mónica Ramírez Almadani"
Oklahoma Northern,2.0,"Sara E. Hill, John D. Russell"
Oklahoma Northern,2.0,"Sara E. Hill, John D. Russell"
,,
Massachusetts,5.0,"Brian A. Kyes, Joshua S. Levy, Justice Myong J. Joun, Julia Kobick, Judge Margaret R. Guzman"
Maryland,5.0,"Judge Julie Rubin, Clinton J. Fuchs, Judge Brendan Abell Hurson, Judge Matthew J. Maddox"
West Virginia Southern,1.0,David L. Lemmon II
,,
,,
,,
Washington Eastern,2.0,"Charnelle Marie Bjelkengren, Judge Mary Katherine Dimke"
Colorado,5.0,"Judge Kato Crews, Gordon Gallagher, Charlotte Sweeney, Judge Nina Nin-Yuen Wang"
Michigan Eastern,5.0,"Shalina D. Kumar, Susan K. DeClercq, Jonathan J.C. Grey, Brandy R. McMillion, Judge Frances Kay Behm"
Illinois,1.0,Colleen Lawless
New York Eastern,6.0,"Hector Gonzalez, Nina Morrison, Orelia Merchant, Ramon Reyes, Nusrat Jahan Choudhury, Natasha C. Merle"
California Northern,7.0,"Judge Jacqueline Corley, Judge Trina Thompson, P. Casey Pitts, Judge Rita F. Lin, Araceli Martinez-Olguin"
New York Eastern,6.0,"Hector Gonzalez, Nina Morrison, Orelia Merchant, Ramon Reyes, Nusrat Jahan Choudhury, Natasha C. Merle"
New York Southern,6.0,"Dale E. Ho, Jessica G. L. Clarke, Jennifer L. Rochon, Arun Subramanian, Margaret Garnett, Jennifer H. Rearden"
,,
,,
Oregon,3.0,"Judge Mustafa T. Kasubhai, Judge Amy M. Baggio, Justice Adrienne C. Nelson"
Indiana Northern,2.0,"Judge Cristal C. Brisco, Judge Gretchen S. Lund"
Indiana Northern,2.0,"Judge Cristal C. Brisco, Judge Gretchen S. Lund"
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
,,
Idaho,1.0,Judge Amanda Brailsford
Illinois Northern,6.0,"Nancy L. Maldonado, Judge Jeffrey Cummings, Judge LaShonda A. Hunt, April Perry, Lindsay C. Jenkins, Jeremy C. Daniel"
Illinois Northern,6.0,"Nancy L. Maldonado, Judge Jeffrey Cummings, Judge LaShonda A. Hunt, April Perry, Lindsay C. Jenkins, Jeremy C. Daniel"
,,
Pennsylvania Eastern,4.0,"Kelley B. Hodge, John Frank Murphy, Judge Mia Perez, Judge Kai Scott"
Pennsylvania Eastern,4.0,"Kelley B. Hodge, John Frank Murphy, Judge Mia Perez, Judge Kai Scott"
Pennsylvania Eastern,4.0,"Kelley B. Hodge, John Frank Murphy, Judge Mia Perez, Judge Kai Scott"
Pennsylvania Eastern,4.0,"Kelley B. Hodge, John Frank Murphy, Judge Mia Perez, Judge Kai Scott"
Colorado,5.0,"Judge Kato Crews, Gordon Gallagher, Charlotte Sweeney, Judge Nina Nin-Yuen Wang"
Kansas,2.0,Jabari Wamble
,,
New York Southern,6.0,"Dale E. Ho, Jessica G. L. Clarke, Jennifer L. Rochon, Arun Subramanian, Margaret Garnett, Jennifer H. Rearden"
Delaware,2.0,"Gregory B. Williams, Judge Jennifer L. Hall"
Michigan Eastern,5.0,"Shalina D. Kumar, Susan K. DeClercq, Jonathan J.C. Grey, Brandy R. McMillion, Judge Frances Kay Behm"
Pennsylvania Middle,2.0,"Julia K. Munley, Judge Karoline Mehalchick"
,,
,,
Illinois Northern,6.0,"Nancy L. Maldonado, Judge Jeffrey Cummings, Judge LaShonda A. Hunt, April Perry, Lindsay C. Jenkins, Jeremy C. Daniel"
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
Columbia Superior Court,7.0,"Kenechukwu Onyemaechi Okocha, Judge Sherri Beatty-Arthur, Erin C. Johnston, Ray D. McKenzie, Special Master Katherine E. Oler, Judge Judith E. Pipe, Charles J. Willoughby Jr."
,,
,,
Indiana Southern,1.0,Judge Matthew P. Brookman
New Jersey,8.0,"Georgette Castner, Evelyn Padin, Jamel K. Semper, Michael E. Farbiarz, Judge Robert Kirsch, Judge Edward S. Kiel"
